filename,features,n_folds,iters,transformation,no_nest,scores,mean_score,std
train,fingerprints,10,500,sqrt,FALSE,"[ 906.02670412 1766.34686273 1229.12114497  177.82355476  489.52762581
  476.54456684  895.18209875 1013.82702456  670.0908895   293.46312844]",791.79536,452.2054142
train,fingerprints,10,500,ln,FALSE,"[1701.81232477 1210.55669582  698.86617545  167.17367489  402.60001603
  410.53879063  576.0586279   952.84920178  590.01759737  276.23102612]",698.6704131,446.2497698
train,descriptors,10,500,sqrt,FALSE,"[ 917.11809126  968.9575037   643.8230647   253.70807715  661.94898041
  607.15703194  286.34994647  404.24061763 1060.21882011  291.58024202]",609.5102375,283.7496669
train,descriptors_3D,10,500,None,FALSE,"[ 795.34080155 1270.83065969 1509.02137302  166.40734966  555.97965747
  751.93799461 1188.19055178 1021.2006679   841.89951276  469.53958678]",857.0348155,382.8526672
train,descriptors,10,500,fourth_rt,FALSE,"[ 941.84748594  886.6134824  1196.08594737  461.33918357  577.35829988
  905.61565181  374.64055867  302.85827409 1253.31350462  289.42374741]",718.9096136,344.7357116
train,descriptors_3D,10,500,fourth_rt,FALSE,"[1054.1622278   930.67314366 1119.48083795  322.32114436  439.39930623
  588.21021075  638.81210105  296.12657439  904.98737506  297.64305501]",659.1815976,305.2479928
train,descriptors,10,500,None,FALSE,"[ 844.19128347  770.20282026 1701.19526991  813.73354742  485.599828
  969.8632524   590.13023086  414.38121183  619.1945834   591.71424798]",780.0206276,347.521543
train,fingerprints_chiral,10,500,None,FALSE,"[ 966.77943087 3129.25315651 1385.04641518  260.68924142  607.70964887
  707.97965315  612.7692335  1125.77682755 1278.62052343  542.57914218]",1061.720327,767.0311649
train,fingerprints_chiral,10,500,ln,FALSE,"[ 805.01486928 1405.04732522  788.0282647   286.66270617  477.26992277
  376.18401625  390.21693331  927.8095627   252.06473973  185.14067069]",589.3439011,365.0100239
train,fingerprints_chiral,10,500,fourth_rt,FALSE,"[1214.31407851 1854.78958991  786.43687034  250.19558713  291.40689188
  314.99378613  637.13604848  988.07186765  469.56335844  266.23693188]",707.314501,495.0439502
train,fingerprints_chiral,10,500,sqrt,FALSE,"[ 867.70724481 1888.87783845 1214.99570872  175.7502302   468.77519008
  545.51646185  760.55663131  957.12344544  693.25107421  399.88652032]",797.2440345,460.8984606
train,fingerprints,10,500,fourth_rt,FALSE,"[ 830.24316707 1851.67872382 1082.69883697  140.0901413   417.22859148
  297.18267289  571.14451816  995.65718577  535.63243157  358.78596167]",708.0342231,478.7819149
train,descriptors,10,500,ln,FALSE,"[1430.05505806  994.34050592 1081.9491265   127.82913191  638.61897998
  930.97211184  235.81528009  464.10564988 1012.18757336  389.24031348]",730.5113731,400.7285775
train,descriptors_3D,10,500,ln,FALSE,"[1207.40996296 1215.34812955 1194.26931439  189.2976561   696.41822509
  693.22563667  518.45454136  873.54848982 1048.2636933   368.33326582]",800.4568915,349.5252079
train,descriptors_3D,10,500,sqrt,FALSE,"[ 890.71676727 1225.96459141  774.13114912  392.3644242   665.01156007
  533.24172184  981.64888691  396.40974544  985.45288316  360.21254629]",720.5154276,283.9722519
train,fingerprints,10,500,None,FALSE,"[ 689.55300504 2897.03615402 1538.11148213  247.37813166  615.07192476
  570.08916698  809.41961101 1116.11877388  845.20619299  481.0355567 ]",980.9019999,722.7421692
